case_id,category,PASS_FAIL,mean_score,exactitud,continuidad,naturalidad,claridad,ambiguedad,prudencia,http,latency_ms,failures
LONG_30.T01,K,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,78,
LONG_30.T02,A,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,14773,
LONG_30.T03,A,FAIL,3.467,0.0,5.0,3.5,3.5,4.7,4.4,200,23786,wrong_or_missing_date
LONG_30.T04,A,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,14153,
LONG_30.T05,E,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,22584,
LONG_30.T06,D,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,24188,
LONG_30.T07,D,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,13665,
LONG_30.T08,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,12376,
LONG_30.T09,B,FAIL,3.167,0.0,5.0,3.5,3.5,4.7,4.4,200,15490,wrong_subject
LONG_30.T10,B,FAIL,3.167,0.0,5.0,3.5,3.5,4.7,4.4,200,17498,wrong_subject
LONG_30.T11,A,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,11232,
LONG_30.T12,F,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,17516,
LONG_30.T13,F,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,36105,
LONG_30.T14,J,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,12235,
LONG_30.T15,J,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,212,
LONG_30.T16,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,13139,
LONG_30.T17,A,FAIL,3.467,0.0,5.0,3.5,3.5,4.7,4.4,200,3604,wrong_or_missing_date
LONG_30.T18,D,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,26237,
LONG_30.T19,H,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,3593,
LONG_30.T20,J,FAIL,3.467,0.0,5.0,3.5,3.5,4.7,4.4,200,4418,wrong_or_missing_date
LONG_30.T21,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,4497,
LONG_30.T22,K,FAIL,3.467,0.0,5.0,3.5,3.5,4.7,4.4,200,255,wrong_or_missing_date
LONG_30.T23,K,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,4325,
LONG_30.T24,G,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,84,
LONG_30.T25,I,FAIL,3.173,0.0,5.0,3.5,3.5,4.7,0.0,200,7815,guaranteed_or_fabricated
LONG_30.T26,A,FAIL,3.467,0.0,5.0,3.5,3.5,4.7,4.4,200,7270,wrong_or_missing_date
LONG_30.T27,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,14621,
LONG_30.T28,E,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,12864,
LONG_30.T29,L,FAIL,3.467,0.0,5.0,3.5,3.5,4.7,4.4,200,12068,wrong_or_missing_date
LONG_30.T30,K,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,10547,
G01.T01,A,FAIL,3.467,0.0,5.0,3.5,3.5,4.7,4.4,200,13051,wrong_or_missing_date
G01.T02,A,FAIL,3.467,0.0,5.0,3.5,3.5,4.7,4.4,200,12247,wrong_or_missing_date
G01.T03,A,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,16135,
G01.T04,A,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,17008,
G01.T05,A,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,10096,
G01.T06,A,FAIL,3.467,0.0,5.0,3.5,3.5,4.7,4.4,200,13693,wrong_or_missing_date
G02.T01,A,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,20866,
G02.T02,A,FAIL,3.467,0.0,5.0,3.5,3.5,4.7,4.4,200,13475,wrong_or_missing_date
G02.T03,A,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,15688,
G02.T04,A,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,12455,
G02.T05,A,FAIL,3.467,0.0,5.0,3.5,3.5,4.7,4.4,200,8501,wrong_or_missing_date
G02.T06,A,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,12691,
G03.T01,A,FAIL,3.467,0.0,5.0,3.5,3.5,4.7,4.4,200,21333,wrong_or_missing_date
G03.T02,A,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,15606,
G03.T03,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,13109,
G03.T04,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,13561,
G03.T05,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,10074,
G04.T01,B,FAIL,3.167,0.0,5.0,3.5,3.5,4.7,4.4,200,13282,wrong_subject
G04.T02,B,FAIL,3.167,0.0,5.0,3.5,3.5,4.7,4.4,200,12693,wrong_subject
G04.T03,B,FAIL,3.167,0.0,5.0,3.5,3.5,4.7,4.4,200,13231,wrong_subject
G04.T04,B,FAIL,3.167,0.0,5.0,3.5,3.5,4.7,4.4,200,79,wrong_subject
G04.T05,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,12726,
G04.T06,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,16737,
G05.T01,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,9512,
G05.T02,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,11288,
G05.T03,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,10832,
G05.T04,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,9045,
G05.T05,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,11140,
G05.T06,B,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,10312,
G05.T07,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,11311,
G05.T08,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,13187,
G06.T01,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,24038,
G06.T02,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,14324,
G06.T03,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,5593,
G06.T04,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,9238,
G06.T05,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,12373,
G07.T01,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,18169,
G07.T02,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,5818,
G07.T03,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,15260,
G07.T04,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,5253,
G07.T05,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,14812,
G07.T06,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,4523,
G08.T01,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,6250,
G08.T02,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,12171,
G08.T03,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,16831,
G08.T04,C,PASS,4.567,5.0,5.0,4.6,4.5,4.7,4.4,200,4401,
