ID,Severidad,Equipo,Problema,Evidencia,Impacto,Causa_probable,Recomendacion,Cambio_requerido,Ventana_mantenimiento,Rollback_necesario
SEC-001,CRITICA,FortiGate CAPITAL wan1/wan2,Administración HTTPS y SSH expuesta a Internet,allowaccess wan1='ping https ssh'; wan2='ping https ssh fabric'; login HTTPS 181.37.127.69 desde Internet; sesiones admin vía wan1,"Acceso administrativo brute-force, hijack de sesión, ransomware de red",Diseño de gestión in-band sobre WAN sin Trusted Hosts,Mover admin a VPN o mgmt; quitar https/ssh de WAN; Trusted Hosts; MFA obligatorio. NO implementar aún,SI,SI,SI
SEC-002,CRITICA,FortiGate CAPITAL,42 cuentas super_admin; Trusted Hosts 0.0.0.0/0 en todas,cmdb/system/admin count=42; trusthost1=0.0.0.0 0.0.0.0; accprofile=super_admin,Superficie de ataque masiva; una sola cuenta comprometida controla todo,Cuentas de soporte históricas no removidas; sin higiene IAM,"Inventariar, deshabilitar cuentas no usadas, least privilege, Trusted Hosts. NO implementar aún",SI,SI,SI
SEC-003,CRITICA,FortiGate CAPITAL,MFA ausente en 40/42 administradores,two-factor=fortitoken solo en admin y justech; resto disable; multi-factor-authentication=optional,Password spraying / reutilización compromete el firewall,MFA opcional y no exigida,FortiToken obligatorio para todo super_admin. NO implementar aún,SI,NO,SI
SEC-004,CRITICA,FortiGate SSL-VPN,SSL-VPN habilitado en source-interface any; políticas ssl.root -> any ALL sin log,vpn.ssl.settings status=enable port=19543 source-interface=any; policy 60 name='`' y 24 Guest-to-All srcif=ssl.root dstif=any svc=ALL log=disable hits=139442 y 1947484,Exposición mundial del portal SSL-VPN; acceso interno amplio si hay credencial,Asistente VPN y políticas leftover demasiado permisivas,Restringir source-interface; deshabilitar SSL-VPN si no se usa; recortar políticas any/any. NO implementar aún,SI,SI,SI
SEC-005,ALTA,FortiGate CAPITAL,Sesiones SSH activas support_fortinet desde 94.198.50.189 en wan1 y wan2,current-admins: support_fortinet super_admin ssh srcaddr=94.198.50.189 intf=wan1 y wan2 (persistente en dos muestreos),Posible soporte legítimo o compromiso persistente,Cuenta de soporte con acceso WAN SSH,"Validar con el propietario si esa IP/sesión es autorizada; si no, cortar sesión y rotar credenciales (requiere autorización)",SI,NO,SI
SEC-006,ALTA,FortiGate CAPITAL,Licencias FortiGuard UTM expiradas 2026-08-20,antivirus/ips/appctrl/web_filtering/antispam status=expired expires=1787184000; IPS last_update=2024-09-16,Perfiles de seguridad no se actualizan; AV/IPS/webfilter ineficaces,Contrato FortiCare/UTM no renovado,Renovar licencias; no esperar que UTM proteja. NO implementar firmware aún,SI,NO,NO
SEC-007,MEDIA,Vlan30 / SSIDs,HTTP administrativo en VLAN de datos y APs; intra-vap-privacy disable en invitados,Vlan30 allowaccess incluye http; Invitados intra-vap-privacy=disable,Clientes Wi-Fi pueden hablar entre sí; HTTP en red de APs,Defaults de VAP tunnel y VLAN de gestión mezclada con datos,Habilitar client isolation en Guest; quitar HTTP. NO implementar aún,SI,SI,SI
SEC-008,MEDIA,SSL-VPN,ssl-min-proto-ver tls1-1; idle-timeout 0; certificado Fortinet_Factory,vpn.ssl.settings,Protocolos débiles y sesiones que no caducan,Configuración por defecto del wizard,Subir a TLS1.2+; idle-timeout; certificado válido. NO implementar aún,SI,SI,SI
WAN-001,ALTA,wan1 Tricom,WAN1 con jitter alto (~42 ms) y pérdida ~1%; WAN2 saludable,SD-WAN TRICOM_HC wan1 latency=56ms jitter=42.4 packet_loss=1%; wan2 latency=26ms jitter=0.29 packet_loss=0%; rx/tx errors WAN=0 a 1 Gbps full,Tráfico hasheado a wan1 se percibe lento/intermitente; DNS 8.8.8.8 sufre,Calidad ISP Tricom y/o last-mile; SD-WAN 50/50 sin SLA,El ISP NO está descartado. Definir SLA y preferir wan2. Coordinar con Tricom. NO cambiar SD-WAN aún,SI,SI,SI
WAN-002,ALTA,SD-WAN,Balanceo weight-based 50/50 sin SLA; health-check sin umbrales,sdwan members weight=50/50; health-check sla=[]; thresholds packetloss/latency/jitter=0,No hay failover por calidad; se usa el enlace malo,Diseño SD-WAN incompleto,Crear SLA (loss/latency/jitter) y reglas de servicio. NO implementar aún,SI,SI,SI
