Formulario,Tipo,Plantilla oficial encontrada,Fuente,DOCX generado,PDF generado,Campos detectados,Campos completados,Campos faltantes,Campos no mapeados,Formato preservado,Estado,Causa raíz,Falta plantilla,No es DOCX,Plantilla corrupta,Sin campos detectables,Requiere mapeo manual,Requiere OCR/conversión,Acción concreta
PLANTILLA.SNCC_C025_CONTRATO_EJECUCION_DE_SERVICIO_CONSULTOR,contrato,Sin plantilla oficial,Sin plantilla oficial,no,no,0,0,0,0,no,FAIL,"Plantilla indexada en biblioteca pero bytes no disponibles: caché vacía, portal DGCP sin este archivo, SharePoint devuelve 401 (OAuth desconectado).",sí,no,no,no,no,no,"1) Reconectar OAuth M365 (fausto@justech.do). 2) Sincronizar repositorio Plantillas. 3) Ejecutar bootstrap_m365_template_cache. 4) Si no está en DGCP público, cargar manualmente a caché oficial."
SNCC.D039,contrato,SNCC_D039_Liquidacion_Contrato.docx,caché oficial DGCP/M365,sí,sí,18,16,2,2,sí,PARTIAL,Plantilla oficial OK; campos de etapa post-adjudicación sin datos en expediente: Indicar Nombre del Adjudicatario. Campos no mapeados: 2.,no,no,no,no,sí,no,Completar manualmente campos de adjudicación/contrato o mapear aliases; no aplica en etapa de oferta.
SNCC.D040,sncc_documento,SNCC_D040_Ejecucion_GFCC.docx,caché oficial DGCP/M365,sí,sí,22,12,7,1,sí,PARTIAL,"Plantilla oficial OK; campos de etapa post-adjudicación sin datos en expediente: No. de Contrato, Nombre del Adjudicatario. Campos no mapeados: 1.",no,no,no,no,sí,no,Completar manualmente campos de adjudicación/contrato o mapear aliases; no aplica en etapa de oferta.
SNCC.D058,carta,SNCC_D_058_Carta_de_Disponibilidad.docx,caché oficial DGCP/M365,sí,sí,7,5,1,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F033,oferta_economica,SNCC_F033_Of_Economica.docx,caché oficial DGCP/M365,sí,sí,5,3,1,6,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F034,sncc_formulario,SNCC_F034_Presentacion_de_Oferta.docx,caché oficial DGCP/M365,sí,sí,4,3,1,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F042,sncc_formulario,SNCC_F042_Informacion_Oferente.docx,caché oficial DGCP/M365,sí,sí,5,4,1,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F047,sncc_formulario,SNCC_F047_Autorizacion_Fabricante.docx,caché oficial DGCP/M365,sí,sí,4,3,1,4,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.P066,sncc_pliego,Sin plantilla oficial,Sin plantilla oficial,no,no,0,0,0,0,no,FAIL,"Plantilla indexada en biblioteca pero bytes no disponibles: caché vacía, portal DGCP sin este archivo, SharePoint devuelve 401 (OAuth desconectado).",sí,no,no,no,no,no,"1) Reconectar OAuth M365 (fausto@justech.do). 2) Sincronizar repositorio Plantillas. 3) Ejecutar bootstrap_m365_template_cache. 4) Si no está en DGCP público, cargar manualmente a caché oficial."
SNCC.P059,sncc_pliego,SNCC.P059 Pliego Estándar de Condiciones para Sorteo de Obras 29.5.24.docx,caché oficial DGCP/M365,sí,sí,0,0,0,41,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,sí,no,Opcional: mapear aliases no críticos en UI.
